Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,market_cap,total_volume
1.74606E+12,01-05-25,ETHUSDT,1793.62,1873.17,1792.52,1838.11,537198.7291,988206595.8,2398765,14097451632,7103187151
1.74597E+12,30-04-25,ETHUSDT,1797.81,1816.8,1731.7,1793.61,473523.9877,843558998.3,2468998,14230588104,6623732041
1.74588E+12,29-04-25,ETHUSDT,1799.88,1842.99,1780.47,1797.81,480456.3884,871685371.7,2590967,13859793330,6497297884
1.74545E+12,24-04-25,ETHUSDT,1795.08,1802.82,1722.9,1769.65,483465.0385,851507192,2225460,14613194776,9655245100
1.74537E+12,23-04-25,ETHUSDT,1756.25,1834.86,1744.95,1795.07,887545.6316,1590311896,3346263,14636213160,6958393690
1.74476E+12,16-04-25,ETHUSDT,1588.77,1613.66,1538.07,1577.14,611387.8686,965271509.9,2645419,14738834254,7260645128
1.74468E+12,15-04-25,ETHUSDT,1623.78,1661.21,1583.12,1588.78,476178.8915,774210116.7,2283302,15692578635,9514201882
1.74459E+12,14-04-25,ETHUSDT,1597.76,1691.5,1595.56,1623.77,645930.1419,1062426757,2975844,15656491188,9440938788
1.7445E+12,13-04-25,ETHUSDT,1644.19,1649.75,1562.01,1597.76,580136.6145,931598664.3,2597350,15364547562,10095847759
1.74442E+12,12-04-25,ETHUSDT,1566.85,1669.59,1546.06,1644.18,501867.9033,813176435.3,2177800,14998595868,7280640218
1.74433E+12,11-04-25,ETHUSDT,1522.24,1591.47,1504.63,1566.85,578484.3183,901210974.6,2547292,15647071448,10273370788
1.74424E+12,10-04-25,ETHUSDT,1669.51,1669.85,1471.02,1522.25,911855.3934,1425649916,3007121,15564837468,9737605323
1.74416E+12,09-04-25,ETHUSDT,1473.41,1689,1385.05,1669.51,1968530.914,2995077138,4723847,15859031094,8488793478
1.74407E+12,08-04-25,ETHUSDT,1553.04,1618.67,1441.3,1473.41,891846.1327,1361139289,3369669,15715287657,8019794567
1.74398E+12,07-04-25,ETHUSDT,1580.77,1639,1411.01,1553.04,2168796.007,3314200223,5723226,18075462341,18970204899
1.7439E+12,06-04-25,ETHUSDT,1806.02,1817,1537.5,1580.76,979847.0958,1621420912,3251935,18104742352,17862385532
1.74381E+12,05-04-25,ETHUSDT,1816.88,1827.29,1764.39,1806.01,201716.2696,362822604,861593,17869543295,14605493159
1.74372E+12,04-04-25,ETHUSDT,1817.23,1835.68,1758.72,1816.87,572734.4702,1030518559,2647730,18727969033,15915322020
1.74364E+12,03-04-25,ETHUSDT,1795.21,1845.26,1750,1817.23,508075.018,912214691.8,2579520,19138755595,15808136411
1.74355E+12,02-04-25,ETHUSDT,1904.98,1957,1781.53,1795.22,750840.7823,1411539015,3408080,18220366702,14003433869
1.74347E+12,01-04-25,ETHUSDT,1822.43,1927.9,1817.88,1904.98,452989.0974,851190042.3,2141608,18243871991,10983216126
1.74338E+12,31-03-25,ETHUSDT,1807.74,1854.22,1776.75,1822.43,497854.9052,904456573,2283021,18460475136,8267420453
